
              C++ TOKENS                  

Line : Col | Type          | Lexeme     
----------------------------------------
  1  :  1  | KEYWORD       | #include <iostream>
  2  :  1  | IDENTIFIER    | using
  2  :  7  | IDENTIFIER    | namespace
  2  :  17  | IDENTIFIER    | std
  2  :  20  | OPERATOR      | ;
  4  :  1  | KEYWORD       | int
  4  :  5  | IDENTIFIER    | main
  4  :  9  | OPERATOR      | (
  4  :  10  | OPERATOR      | )
  4  :  12  | OPERATOR      | {
  5  :  3  | IDENTIFIER    | cout
  5  :  8  | OPERATOR      | <<
  5  :  11  | STRING_LITERAL | "Hello, World!"
  5  :  27  | OPERATOR      | <<
  5  :  30  | IDENTIFIER    | endl
  5  :  34  | OPERATOR      | ;
  6  :  3  | KEYWORD       | int
  6  :  7  | IDENTIFIER    | x
  6  :  9  | OPERATOR      | =
  6  :  11  | INT_LITERAL   | 10
  6  :  13  | OPERATOR      | ;
  7  :  3  | KEYWORD       | int
  7  :  7  | IDENTIFIER    | y
  7  :  9  | OPERATOR      | =
  7  :  11  | INT_LITERAL   | 20
  7  :  13  | OPERATOR      | ;
  8  :  3  | KEYWORD       | int
  8  :  7  | IDENTIFIER    | result
  8  :  14  | OPERATOR      | =
  8  :  16  | IDENTIFIER    | x
  8  :  18  | OPERATOR      | +
  8  :  20  | IDENTIFIER    | y
  8  :  21  | OPERATOR      | ;
  9  :  3  | IDENTIFIER    | cout
  9  :  8  | OPERATOR      | <<
  9  :  11  | STRING_LITERAL | "Result = "
  9  :  23  | OPERATOR      | <<
  9  :  26  | IDENTIFIER    | result
  9  :  33  | OPERATOR      | <<
  9  :  36  | IDENTIFIER    | endl
  9  :  40  | OPERATOR      | ;
  10  :  3  | KEYWORD       | return
  10  :  10  | INT_LITERAL   | 0
  10  :  11  | OPERATOR      | ;
  11  :  1  | OPERATOR      | }
  12  :  1  | EOF           | EOF

